decile,customers,treated_customers,control_customers,treatment_conversion_rate,control_conversion_rate,observed_uplift,average_predicted_uplift,calibration_gap
1,853,443,410,0.011286681715575621,0.004878048780487805,0.006408632935087816,0.14379674194142683,0.13738810900633902
2,852,422,430,0.018957345971563982,0.004651162790697674,0.014306183180866308,0.09943632261529536,0.08513013943442906
3,852,434,418,0.004608294930875576,0.0,0.004608294930875576,0.07879257850146773,0.07418428357059216
4,852,420,432,0.014285714285714285,0.009259259259259259,0.0050264550264550265,0.060355239683739174,0.05532878465728415
5,853,414,439,0.007246376811594203,0.002277904328018223,0.004968472483575979,0.0420970466116031,0.03712857412802712
6,852,410,442,0.014634146341463415,0.0022624434389140274,0.012371702902549388,0.02218801269198014,0.009816309789430752
7,852,424,428,0.009433962264150943,0.011682242990654205,-0.002248280726503262,0.0023222919924638023,0.004570572718967065
8,852,419,433,0.007159904534606206,0.009237875288683603,-0.002077970754077397,-0.021659164540483125,-0.01958119378640573
9,852,433,419,0.013856812933025405,0.0,0.013856812933025405,-0.048665040103710526,-0.06252185303673594
10,853,443,410,0.024830699774266364,0.012195121951219513,0.012635577823046851,-0.08629555367318359,-0.09893113149623044
