decile,customers,treated_customers,control_customers,treated_conversions,control_conversions,treatment_conversion_rate,control_conversion_rate,observed_uplift,average_predicted_uplift,cumulative_customers,cumulative_treated_customers,cumulative_control_customers,cumulative_observed_uplift
1,853,443,410,5,2,0.011286681715575621,0.004878048780487805,0.006408632935087816,0.14379674194142683,853,443,410,0.006408632935087816
2,852,422,430,8,2,0.018957345971563982,0.004651162790697674,0.014306183180866308,0.09943632261529536,1705,865,840,0.010266996972199283
3,852,434,418,2,0,0.004608294930875576,0.0,0.004608294930875576,0.07879257850146773,2557,1299,1258,0.008367693872380736
4,852,420,432,6,4,0.014285714285714285,0.009259259259259259,0.0050264550264550265,0.060355239683739174,3409,1719,1690,0.007482677075911067
5,853,414,439,3,1,0.007246376811594203,0.002277904328018223,0.004968472483575979,0.0420970466116031,4262,2133,2129,0.007024421309371158
6,852,410,442,6,1,0.014634146341463415,0.0022624434389140274,0.012371702902549388,0.02218801269198014,5114,2543,2571,0.007907552906040989
7,852,424,428,4,5,0.009433962264150943,0.011682242990654205,-0.002248280726503262,0.0023222919924638023,5966,2967,2999,0.00645771936336941
8,852,419,433,3,4,0.007159904534606206,0.009237875288683603,-0.002077970754077397,-0.021659164540483125,6818,3386,3432,0.005391217367000002
9,852,433,419,6,0,0.013856812933025405,0.0,0.013856812933025405,-0.048665040103710526,7670,3819,3851,0.006325708580741552
10,853,443,410,11,5,0.024830699774266364,0.012195121951219513,0.012635577823046851,-0.08629555367318359,8523,4262,4261,0.007037627292201233
