decile,customers,treated_customers,control_customers,treated_conversions,control_conversions,treatment_conversion_rate,control_conversion_rate,observed_uplift,average_predicted_uplift,cumulative_customers,cumulative_treated_customers,cumulative_control_customers,cumulative_observed_uplift
1,853,454,399,3,2,0.006607929515418502,0.005012531328320802,0.0015953981870977007,0.2620384134608764,853,454,399,0.0015953981870977007
2,852,409,443,6,0,0.014669926650366748,0.0,0.014669926650366748,0.1894517719273101,1705,863,842,0.008053440051964782
3,852,415,437,5,3,0.012048192771084338,0.006864988558352402,0.005183204212731936,0.1493074906910904,2557,1278,1279,0.007045312444557013
4,852,435,417,6,2,0.013793103448275862,0.004796163069544364,0.008996940378731498,0.11317204538008196,3409,1713,1696,0.007548064743526198
5,853,401,452,2,3,0.004987531172069825,0.00663716814159292,-0.001649636969523095,0.07686289040594237,4262,2114,2148,0.005751318249005918
6,852,436,416,7,1,0.016055045871559634,0.002403846153846154,0.01365119971771348,0.038001779036868605,5114,2550,2564,0.0070823774127435676
7,852,432,420,1,2,0.0023148148148148147,0.004761904761904762,-0.0024470899470899476,-0.0043728958397550146,5966,2982,2984,0.005703793808426969
8,852,423,429,8,6,0.018912529550827423,0.013986013986013986,0.004926515564813437,-0.04902730068049151,6818,3405,3413,0.005593108839700325
9,852,413,439,4,2,0.009685230024213076,0.004555808656036446,0.005129421368176629,-0.10024749371451552,7670,3818,3852,0.0055488104388296796
10,853,444,409,12,3,0.02702702702702703,0.007334963325183374,0.019692063701843655,-0.17791491032477305,8523,4262,4261,0.007037627292201233
