decile,customers,treated_customers,control_customers,treated_conversions,control_conversions,treatment_conversion_rate,control_conversion_rate,observed_uplift,average_predicted_uplift,cumulative_customers,cumulative_treated_customers,cumulative_control_customers,cumulative_observed_uplift
1,853,446,407,6,1,0.013452914798206279,0.002457002457002457,0.010995912341203822,0.2090485499966692,853,446,407,0.010995912341203822
2,852,402,450,2,3,0.004975124378109453,0.006666666666666667,-0.0016915422885572145,0.20851537199406478,1705,848,857,0.004766517690055261
3,852,422,430,1,5,0.002369668246445498,0.011627906976744186,-0.009258238730298688,0.20738530180657566,2557,1270,1287,9.360718022135336e-05
4,852,414,438,3,1,0.007246376811594203,0.00228310502283105,0.004963271788763153,0.20564907180566583,3409,1684,1725,0.0013287892870666807
5,853,421,432,9,2,0.021377672209026127,0.004629629629629629,0.016748042579396497,0.2032297852708047,4262,2105,2157,0.004412964694300278
6,852,424,428,13,3,0.030660377358490566,0.007009345794392523,0.023651031564098042,0.19966330165138355,5114,2529,2585,0.007641341100870139
7,852,423,429,8,3,0.018912529550827423,0.006993006993006993,0.01191952255782043,0.19483678714092145,5966,2952,3014,0.008255512216701462
8,852,445,407,5,2,0.011235955056179775,0.004914004914004914,0.006321950142174861,0.18782513467610562,6818,3397,3421,0.007989493627000525
9,852,424,428,5,3,0.01179245283018868,0.007009345794392523,0.004783107035796157,0.17901033714126727,7670,3821,3849,0.007633424806600979
10,853,441,412,2,1,0.0045351473922902496,0.0024271844660194173,0.0021079629262708323,0.16173463316221653,8523,4262,4261,0.007037627292201233
