decile,customers,treated_customers,control_customers,treatment_conversion_rate,control_conversion_rate,observed_uplift,average_predicted_uplift,calibration_gap
1,853,454,399,0.006607929515418502,0.005012531328320802,0.0015953981870977007,0.2620384134608764,0.2604430152737787
2,852,409,443,0.014669926650366748,0.0,0.014669926650366748,0.1894517719273101,0.17478184527694335
3,852,415,437,0.012048192771084338,0.006864988558352402,0.005183204212731936,0.1493074906910904,0.14412428647835845
4,852,435,417,0.013793103448275862,0.004796163069544364,0.008996940378731498,0.11317204538008196,0.10417510500135047
5,853,401,452,0.004987531172069825,0.00663716814159292,-0.001649636969523095,0.07686289040594237,0.07851252737546546
6,852,436,416,0.016055045871559634,0.002403846153846154,0.01365119971771348,0.038001779036868605,0.024350579319155123
7,852,432,420,0.0023148148148148147,0.004761904761904762,-0.0024470899470899476,-0.0043728958397550146,-0.001925805892665067
8,852,423,429,0.018912529550827423,0.013986013986013986,0.004926515564813437,-0.04902730068049151,-0.05395381624530495
9,852,413,439,0.009685230024213076,0.004555808656036446,0.005129421368176629,-0.10024749371451552,-0.10537691508269215
10,853,444,409,0.02702702702702703,0.007334963325183374,0.019692063701843655,-0.17791491032477305,-0.1976069740266167
